date,visitor,home
2019-10-22,NOP,TOR
2019-10-22,LAL,LAC
2019-10-23,CHI,CHO
2019-10-23,DET,IND
2019-10-23,CLE,ORL
2019-10-23,MIN,BRK
2019-10-23,MEM,MIA
2019-10-23,BOS,PHI
2019-10-23,WAS,DAL
2019-10-23,NYK,SAS
2019-10-23,OKC,UTA
2019-10-23,SAC,PHO
2019-10-23,DEN,POR
2019-10-24,ATL,DET
2019-10-24,MIL,HOU
2019-10-24,LAC,GSW
2019-10-25,TOR,BOS
2019-10-25,MIN,CHO
2019-10-25,NYK,BRK
2019-10-25,CHI,MEM
2019-10-25,DAL,NOP
2019-10-25,WAS,OKC
2019-10-25,PHO,DEN
2019-10-25,POR,SAC
2019-10-25,UTA,LAL
2019-10-26,MIA,MIL
2019-10-26,PHI,DET
2019-10-26,ORL,ATL
2019-10-26,BOS,NYK
2019-10-26,TOR,CHI
2019-10-26,IND,CLE
2019-10-26,NOP,HOU
2019-10-26,WAS,SAS
2019-10-26,SAC,UTA
2019-10-26,LAC,PHO
2019-10-27,GSW,OKC
2019-10-27,BRK,MEM
2019-10-27,POR,DAL
2019-10-27,MIA,MIN
2019-10-27,CHO,LAL
2019-10-28,CHI,NYK
2019-10-28,IND,DET
2019-10-28,ORL,TOR
2019-10-28,PHI,ATL
2019-10-28,OKC,HOU
2019-10-28,CLE,MIL
2019-10-28,GSW,NOP
2019-10-28,POR,SAS
2019-10-28,UTA,PHO
2019-10-28,DEN,SAC
2019-10-28,CHO,LAC
2019-10-29,ATL,MIA
2019-10-29,DAL,DEN
2019-10-29,MEM,LAL
2019-10-30,CHI,CLE
2019-10-30,NYK,ORL
2019-10-30,MIN,PHI
2019-10-30,MIL,BOS
2019-10-30,IND,BRK
2019-10-30,DET,TOR
2019-10-30,POR,OKC
2019-10-30,HOU,WAS
2019-10-30,CHO,SAC
2019-10-30,LAC,UTA
2019-10-30,PHO,GSW
2019-10-31,MIA,ATL
2019-10-31,DEN,NOP
2019-10-31,SAS,LAC
2019-11-01,HOU,BRK
2019-11-01,CLE,IND
2019-11-01,MIL,ORL
2019-11-01,NYK,BOS
2019-11-01,DET,CHI
2019-11-01,LAL,DAL
2019-11-01,UTA,SAC
2019-11-01,SAS,GSW
2019-11-02,NOP,OKC
2019-11-02,BRK,DET
2019-11-02,DEN,ORL
2019-11-02,PHO,MEM
2019-11-02,TOR,MIL
2019-11-02,MIN,WAS
